trainNo,trainName,from,to,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Type
6013,ALLP-QLN MEMU,ALLP,QLN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MEMU
6014,QLN-ALLP MEMU,QLN,ALLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MEMU
6015,ERS-ALLP MEMU,ERS,ALLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MEMU
6016,ALLP-ERS MEMU,ALLP,ERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MEMU
6017,SRR-ERS MEMU,SRR,ERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MEMU
6018,ERS-SRR MEMU,ERS,SRR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MEMU
6423,QLN-TVC PASSENGER,QLN,TVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
6424,TVC-QLN PASSENGER,TVC,QLN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
6425,QLN-TVC PASSENGER,QLN,TVC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
6426,NCJ-QLN PASSENGER,NCJ,QLN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
6427,QLN-NCJ PASSENGER,QLN,NCJ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
6428,NCJ-KCVL PASSENGER,NCJ,KCVL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
6429,KCVL-NCJ PASSENGER,KCVL,NCJ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
6430,NCJ-KCVL PASSENGER,NCJ,KCVL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PAS
